window_start_utc,settled_up,slug,source,up_mid_open,mid_seconds_remaining,open_price,close_price
2025-09-13 00:45:00+00:00,1,btc-up-or-down-15m-1757724300,bot.hist_windows,,,,
2025-09-13 01:00:00+00:00,0,btc-up-or-down-15m-1757725200,bot.hist_windows,,,,
2025-09-13 01:15:00+00:00,0,btc-up-or-down-15m-1757726100,bot.hist_windows,,,,
2025-09-13 01:30:00+00:00,0,btc-up-or-down-15m-1757727000,bot.hist_windows,,,,
2025-09-13 01:45:00+00:00,0,btc-up-or-down-15m-1757727900,bot.hist_windows,,,,
2025-09-13 02:00:00+00:00,1,btc-up-or-down-15m-1757728800,bot.hist_windows,,,,
2025-09-13 02:15:00+00:00,0,btc-up-or-down-15m-1757729700,bot.hist_windows,,,,
2025-09-13 02:30:00+00:00,0,btc-up-or-down-15m-1757730600,bot.hist_windows,,,,
2025-09-13 02:45:00+00:00,0,btc-up-or-down-15m-1757731500,bot.hist_windows,,,,
2025-09-13 03:00:00+00:00,1,btc-up-or-down-15m-1757732400,bot.hist_windows,,,,
2025-09-13 03:15:00+00:00,0,btc-up-or-down-15m-1757733300,bot.hist_windows,,,,
2025-09-13 03:30:00+00:00,1,btc-up-or-down-15m-1757734200,bot.hist_windows,,,,
2025-09-13 03:45:00+00:00,1,btc-up-or-down-15m-1757735100,bot.hist_windows,,,,
2025-09-13 04:00:00+00:00,0,btc-up-or-down-15m-1757736000,bot.hist_windows,,,,
2025-09-13 04:15:00+00:00,0,btc-up-or-down-15m-1757736900,bot.hist_windows,,,,
2025-09-13 04:30:00+00:00,1,btc-up-or-down-15m-1757737800,bot.hist_windows,,,,
2025-09-13 04:45:00+00:00,0,btc-up-or-down-15m-1757738700,bot.hist_windows,,,,
2025-09-13 05:00:00+00:00,1,btc-up-or-down-15m-1757739600,bot.hist_windows,,,,
2025-09-13 05:15:00+00:00,1,btc-up-or-down-15m-1757740500,bot.hist_windows,,,,
2025-09-13 05:30:00+00:00,0,btc-up-or-down-15m-1757741400,bot.hist_windows,,,,
2025-09-13 05:45:00+00:00,0,btc-up-or-down-15m-1757742300,bot.hist_windows,,,,
2025-09-13 06:00:00+00:00,1,btc-up-or-down-15m-1757743200,bot.hist_windows,,,,
2025-09-13 06:15:00+00:00,0,btc-up-or-down-15m-1757744100,bot.hist_windows,,,,
2025-09-13 06:30:00+00:00,1,btc-up-or-down-15m-1757745000,bot.hist_windows,,,,
2025-09-13 06:45:00+00:00,1,btc-up-or-down-15m-1757745900,bot.hist_windows,,,,
2025-09-13 07:00:00+00:00,1,btc-up-or-down-15m-1757746800,bot.hist_windows,,,,
2025-09-13 07:15:00+00:00,0,btc-up-or-down-15m-1757747700,bot.hist_windows,,,,
2025-09-13 07:30:00+00:00,0,btc-up-or-down-15m-1757748600,bot.hist_windows,,,,
2025-09-13 07:45:00+00:00,0,btc-up-or-down-15m-1757749500,bot.hist_windows,,,,
2025-09-13 08:00:00+00:00,1,btc-up-or-down-15m-1757750400,bot.hist_windows,,,,
2025-09-13 08:15:00+00:00,1,btc-up-or-down-15m-1757751300,bot.hist_windows,,,,
2025-09-13 08:30:00+00:00,1,btc-up-or-down-15m-1757752200,bot.hist_windows,,,,
2025-09-13 08:45:00+00:00,0,btc-up-or-down-15m-1757753100,bot.hist_windows,,,,
2025-09-13 09:00:00+00:00,0,btc-up-or-down-15m-1757754000,bot.hist_windows,,,,
2025-09-13 09:15:00+00:00,0,btc-up-or-down-15m-1757754900,bot.hist_windows,,,,
2025-09-13 09:30:00+00:00,1,btc-up-or-down-15m-1757755800,bot.hist_windows,,,,
2025-09-13 09:45:00+00:00,1,btc-up-or-down-15m-1757756700,bot.hist_windows,,,,
2025-09-13 10:00:00+00:00,1,btc-up-or-down-15m-1757757600,bot.hist_windows,,,,
2025-09-13 10:15:00+00:00,0,btc-up-or-down-15m-1757758500,bot.hist_windows,,,,
2025-09-13 10:30:00+00:00,1,btc-up-or-down-15m-1757759400,bot.hist_windows,,,,
2025-09-13 10:45:00+00:00,0,btc-up-or-down-15m-1757760300,bot.hist_windows,,,,
2025-09-13 11:00:00+00:00,0,btc-up-or-down-15m-1757761200,bot.hist_windows,,,,
2025-09-13 11:15:00+00:00,1,btc-up-or-down-15m-1757762100,bot.hist_windows,,,,
2025-09-13 11:30:00+00:00,1,btc-up-or-down-15m-1757763000,bot.hist_windows,,,,
2025-09-13 11:45:00+00:00,0,btc-up-or-down-15m-1757763900,bot.hist_windows,,,,
2025-09-13 12:00:00+00:00,0,btc-up-or-down-15m-1757764800,bot.hist_windows,,,,
2025-09-13 12:15:00+00:00,0,btc-up-or-down-15m-1757765700,bot.hist_windows,,,,
